,daysDiff,length_usage,num_referrals,creation_source_ORG_INVITE,creation_source_PERSONAL_PROJECTS,creation_source_SIGNUP,creation_source_SIGNUP_GOOGLE_AUTH,opted_in_to_mailing_list_1,enabled_for_marketing_drip_1,email_domain_gmail.com,email_domain_gustr.com,email_domain_hotmail.com,email_domain_jourrapide.com,email_domain_other,email_domain_yahoo.com,ref_size_M,ref_size_Not_invited,ref_size_S,org_size_cat_Extreme,org_size_cat_Few,org_size_cat_Moderate,org_size_cat_Small,adopted
39,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,False
40,0,0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,False
41,2,560,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,True
42,1,105,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,True
43,1,1,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,False
44,1,1,0.0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,False
45,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,False
46,1,1,6.0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,False
47,1,1,0.0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,False
48,0,0,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,False
49,2,142,7.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,True
50,0,0,0.0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,False
51,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,False
52,4,85,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,True
53,3,3,0.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,False
54,2,2,4.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,False
55,1,1,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,False
56,1,1,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,False
57,0,0,0.0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,False
58,3,86,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,False
59,0,55,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,False
60,0,0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,False
61,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,False
62,0,531,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,True
63,2,2,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,False
64,2,2,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,False
65,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,False
66,1,1,0.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,False
67,1,1,0.0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,False
68,1,700,4.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,True
69,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,False
70,0,0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,False
71,2,2,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,False
72,1,1,0.0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,False
73,0,222,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,True
74,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,False
75,1,1,0.0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,False
76,0,28,0.0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,False
77,0,0,5.0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,False
78,0,0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,False
79,1,65,0.0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,True
80,1,336,0.0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,True
81,2,477,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,True
82,1,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,False
83,1,1,0.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,False
84,3,3,0.0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,False
85,3,3,0.0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,False
86,2,253,0.0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,True
87,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,False
88,2,2,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,False
89,0,0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,False
90,1,1,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,False
91,0,0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,False
92,0,0,2.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,False
93,4,5,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,False
94,0,53,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,False
95,1,13,0.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,False
96,0,0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,False
97,0,0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,False
98,4,4,0.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,False
99,3,3,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,False
100,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False
101,0,0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,False
102,0,0,1.0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,False
103,0,0,0.0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,False
104,2,2,0.0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,False
105,1,1,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,False
106,3,3,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,False
107,0,0,1.0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,False
108,3,3,0.0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,False
109,2,2,0.0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,False
110,1,1,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,False
111,1,1,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,False
112,4,4,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,False
113,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,False
114,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,False
115,0,0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,False
116,2,2,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,False
117,0,0,0.0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,False
118,1,1,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,False
119,0,0,2.0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,False
120,0,0,7.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False
121,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,False
122,1,1,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,False
123,0,0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,False
124,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,False
125,0,46,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,False
126,2,2,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,False
127,1,10,0.0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,False
128,0,0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,False
129,0,0,2.0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,False
130,0,0,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,False
131,1,1,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,False
132,4,248,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,True
133,0,0,1.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,False
134,4,130,0.0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,True
135,0,49,0.0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,False
136,0,0,5.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,False
137,0,0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,False
138,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,False
139,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,False
140,0,138,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,True
141,0,83,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,False
142,0,0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,False
143,2,2,0.0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,False
144,0,0,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,False
145,2,448,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,True
146,0,0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,False
147,0,0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,False
148,0,0,3.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,False
149,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,False
150,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,False
151,0,0,0.0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,False
152,0,391,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,True
153,2,2,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,False
154,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,False
155,0,0,0.0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,False
156,0,0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,False
157,1,1,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,False
158,0,0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,False
159,2,393,0.0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,True
160,4,4,0.0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,False
161,1,1,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,False
162,0,0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,False
163,0,0,0.0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,False
164,1,100,1.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,True
165,0,0,0.0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,False
166,0,0,0.0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,False
167,0,531,0.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,True
168,0,0,1.0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,False
169,0,0,0.0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,False
170,0,27,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,False
171,3,93,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,True
172,0,0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False
173,0,221,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,True
174,0,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,False
175,0,0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,False
176,0,0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,False
177,0,0,4.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,False
178,1,1,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,False
179,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,False
180,0,0,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,False
181,1,1,0.0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,False
182,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,False
183,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,False
184,0,130,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,True
185,0,0,0.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,False
186,0,0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,False
187,0,70,0.0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,True
188,0,0,0.0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,False
189,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False
190,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,False
191,0,0,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,False
192,0,0,6.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,False
193,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,False
194,1,1,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,False
195,1,1,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False
196,1,697,4.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,True
197,0,0,0.0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,False
198,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,False
199,2,466,1.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,True
200,1,1,0.0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,False
201,1,196,0.0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,True
202,1,359,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,True
203,4,4,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,False
204,0,0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,False
205,0,0,0.0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,False
206,0,0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,False
207,2,2,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,False
208,0,305,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,True
209,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,False
210,1,1,0.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,False
211,4,5,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,False
212,2,2,0.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,False
213,1,504,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,True
214,1,1,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,False
215,3,3,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,False
216,0,0,0.0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,False
217,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,False
218,2,2,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,False
219,1,1,2.0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,False
220,1,18,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,False
221,0,0,0.0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,False
222,0,1,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,False
223,0,0,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,False
224,2,2,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,False
225,0,0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,False
226,0,0,0.0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,False
227,3,3,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,False
228,0,0,2.0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,False
229,2,441,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,True
230,0,0,2.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,False
231,2,2,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,False
232,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,False
233,0,0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,False
234,4,4,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False
235,1,1,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,False
236,0,0,0.0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,False
237,2,2,3.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,False
238,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,False
239,0,0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,False
240,5,27,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,False
241,2,2,1.0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,False
242,4,4,0.0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,False
243,2,2,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,False
244,0,363,0.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,True
245,1,1,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,False
246,0,244,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,True
247,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,False
248,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,False
249,0,0,0.0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,False
250,0,20,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,False
251,2,2,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,False
252,0,0,0.0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,False
253,1,4,0.0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,False
254,1,1,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,False
255,2,2,4.0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,False
256,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,False
257,5,5,0.0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,False
258,0,0,0.0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,False
259,0,0,0.0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,False
260,1,1,0.0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,False
261,3,3,0.0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,False
262,0,413,0.0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,True
263,0,0,8.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,False
264,1,127,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,True
265,0,0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,False
266,1,1,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,False
267,1,1,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,False
268,0,0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,False
